id,protocol,calculation,units,value
13-0,MV Flow,MV E/A,none,1.450055
13-0,MV Flow,MV E/E',none,-44.779661
13-0,SAX M-Mode,EF,%,65.110821
13-0,SAX M-Mode,FS,%,34.166695
13-0,SAX M-Mode,LV Mass AW,mg,214.781499
13-0,SAX M-Mode,LV Mass AW (Corrected),mg,171.825199
13-0,SAX M-Mode,LV Vol;d,uL,28.069958
13-0,SAX M-Mode,LV Vol;s,uL,9.793378
4-a,MV Flow,A'/E',none,2.142857
4-a,MV Flow,E'/A',none,0.466667
4-a,MV Flow,MV E/A,none,2.157635
4-a,MV Flow,MV E/E',none,-41.714287
4-a,SAX M-Mode,EF,%,74.763189
4-a,SAX M-Mode,FS,%,42.063497
4-a,SAX M-Mode,LV Mass AW,mg,190.656508
4-a,SAX M-Mode,LV Mass AW (Corrected),mg,152.525206
4-a,SAX M-Mode,LV Vol;d,uL,31.650556
4-a,SAX M-Mode,LV Vol;s,uL,7.987591
13-a,MV Flow,A'/E',none,1.607595
13-a,MV Flow,E'/A',none,0.622047
13-a,MV Flow,MV E/A,none,2.229236
13-a,MV Flow,MV E/E',none,-16.987342
13-a,SAX M-Mode,EF,%,86.236659
13-a,SAX M-Mode,FS,%,52.873568
13-a,SAX M-Mode,LV Mass AW,mg,200.077203
13-a,SAX M-Mode,LV Mass AW (Corrected),mg,160.061762
13-a,SAX M-Mode,LV Vol;d,uL,12.535118
13-a,SAX M-Mode,LV Vol;s,uL,1.725251
9-F,MV Flow,A'/E',none,1.511111
9-F,MV Flow,E'/A',none,0.661765
9-F,MV Flow,MV E/A,none,1.310734
9-F,MV Flow,MV E/E',none,-28.189921
9-F,SAX M-Mode,EF,%,66.922421
9-F,SAX M-Mode,FS,%,35.8209
9-F,SAX M-Mode,LV Mass AW,mg,159.116983
9-F,SAX M-Mode,LV Mass AW (Corrected),mg,127.293586
9-F,SAX M-Mode,LV Vol;d,uL,36.795916
9-F,SAX M-Mode,LV Vol;s,uL,12.171198
9-0,MV Flow,A'/E',none,1.479167
9-0,MV Flow,E'/A',none,0.676056
9-0,MV Flow,MV E/A,none,1.366599
9-0,MV Flow,MV E/E',none,-25.522051
9-0,SAX M-Mode,EF,%,46.357732
9-0,SAX M-Mode,FS,%,22.516552
9-0,SAX M-Mode,LV Mass AW,mg,155.437658
9-0,SAX M-Mode,LV Mass AW (Corrected),mg,124.350126
9-0,SAX M-Mode,LV Vol;d,uL,49.15608
9-0,SAX M-Mode,LV Vol;s,uL,26.368436
15-0,MV Flow,A'/E',none,2.052632
15-0,MV Flow,E'/A',none,0.487179
15-0,MV Flow,MV E/A,none,1.715835
15-0,MV Flow,MV E/E',none,-38.389656
15-0,SAX M-Mode,EF,%,64.694718
15-0,SAX M-Mode,FS,%,33.884296
15-0,SAX M-Mode,LV Mass AW,mg,153.624035
15-0,SAX M-Mode,LV Mass AW (Corrected),mg,122.899228
15-0,SAX M-Mode,LV Vol;d,uL,28.650237
15-0,SAX M-Mode,LV Vol;s,uL,10.115047
4-0,MV Flow,A'/E',none,1.72093
4-0,MV Flow,E'/A',none,0.581081
4-0,MV Flow,MV E/A,none,1.245642
4-0,MV Flow,MV E/E',none,-36.55814
4-0,SAX M-Mode,EF,%,44.063436
4-0,SAX M-Mode,FS,%,21.192053
4-0,SAX M-Mode,LV Mass AW,mg,160.225386
4-0,SAX M-Mode,LV Mass AW (Corrected),mg,128.180309
4-0,SAX M-Mode,LV Vol;d,uL,49.15608
4-0,SAX M-Mode,LV Vol;s,uL,27.496222
11-a,MV Flow,EF,%,60.788436
11-a,MV Flow,FS,%,31.927693
11-a,MV Flow,LV Mass AW,mg,138.85639
11-a,MV Flow,LV Mass AW (Corrected),mg,111.085112
11-a,MV Flow,LV Vol;d,uL,61.694099
11-a,MV Flow,LV Vol;s,uL,24.191221
14-0,MV Flow,A'/E',none,1.434783
14-0,MV Flow,E'/A',none,0.69697
14-0,MV Flow,MV E/A,none,2.651584
14-0,MV Flow,MV E/E',none,-25.478261
14-0,SAX M-Mode,EF,%,51.213547
14-0,SAX M-Mode,FS,%,25.185181
