id,protocol,measurement,mode,parameter,units,avg,std,instance_1,instance_2
10-a,MV Flow,A',PW Tissue Doppler Mode,Velocity,mm/s,-21.925221,1.512534,-22.994744,-20.855698
10-a,MV Flow,E',PW Tissue Doppler Mode,Velocity,mm/s,-25.401171,4.159468,-28.342359,-22.459983
10-a,MV Flow,MV A,PW Doppler Mode,Velocity,mm/s,374.867805,11.344004,366.846382,382.889227
10-a,MV Flow,MV E,PW Doppler Mode,Velocity,mm/s,529.948637,18.906674,516.5796,543.317674
10-a,SAX M-Mode,LVAW;d,M-Mode,Depth,mm,1.4625,0.129268,1.371094,1.553906
10-a,SAX M-Mode,LVAW;s,M-Mode,Depth,mm,1.873828,0.06463398,1.919531,1.828125
10-a,SAX M-Mode,LVID;d,M-Mode,Depth,mm,3.267773,0.03231699,3.244922,3.290625
10-a,SAX M-Mode,LVID;s,M-Mode,Depth,mm,2.033789,0.03231699,2.010937,2.056641
10-a,SAX M-Mode,LVPW;d,M-Mode,Depth,mm,1.531055,0.09695097,1.599609,1.4625
10-a,SAX M-Mode,LVPW;s,M-Mode,Depth,mm,1.873828,0.0,1.873828,1.873828
